theta1,theta2,theta3,pois_rate,loc
4.4358567071538e-05,0.000396467289389362,3649.52662312168,0.0001754386,Dun6
5.26124618432826e-05,0.000154678044959011,5444.2953590215,0.0001253133,Dun4 
6.904376e-07,8.130893e-05,1.105634e+04,2.014324e-06,Cad
1.12941075376269e-05,0.000160142709056219,5429.27924924398,3.355142e-05,Aka
1.06445746886675e-05,0.00112792873676844,1127.39842092795,5.073052e-05,Rur
1.13695331462521e-06,0.000239642107431782,14634.8837225275,2.361314e-05,LGe
2.12114985470814e-05,5.97952124673528e-05,5405.23970205066,3.546099e-05,Whar
1.11553787942209e-06,8.72070496635695e-05,19127.6367156207,7.070707e-06,Wait 
3.35945682898918e-06,1.63846996646974e-05,44268.0250655131,8.510638e-06,Hyd
1.0905773062701e-06,2.96927476125772e-05,20424.3186168895,2.521432e-06,LEd
8.96826138659074e-06,0.000274604235781332,2215.54405998641,2.525253e-05,Mee
1.003169e-06,1.466792e-03,6.966403e+02,4.000816e-06,NMSZ
